"","lambda","intensity"
"1494",491.36,0.11819
"1495",491.56,0.11722
"1496",491.76,0.11189
"1497",491.96,0.11735
"1498",492.17,0.11646
"1499",492.37,0.11846
"1500",492.57,0.12035
"1501",492.77,0.12029
"1502",492.97,0.12291
"1503",493.17,0.12042
"1504",493.37,0.11956
"1505",493.57,0.11894
"1506",493.77,0.11896
"1507",493.97,0.1234
"1508",494.17,0.11974
"1509",494.38,0.12115
"1510",494.58,0.11895
"1511",494.78,0.11942
"1512",494.98,0.11908
"1513",495.18,0.12162
"1514",495.38,0.12135
"1515",495.58,0.12284
"1516",495.78,0.12283
"1517",495.98,0.12476
"1518",496.18,0.12404
"1519",496.38,0.1213
"1520",496.58,0.11757
"1521",496.78,0.12399
"1522",496.99,0.11958
"1523",497.19,0.12355
"1524",497.39,0.12493
"1525",497.59,0.12229
"1526",497.79,0.11875
"1527",497.99,0.12181
"1528",498.19,0.12288
"1529",498.39,0.12342
"1530",498.59,0.11965
"1531",498.79,0.11893
"1532",498.99,0.11877
"1533",499.19,0.12116
"1534",499.39,0.12125
"1535",499.59,0.11857
"1536",499.79,0.11837
"1537",499.99,0.1181
"1538",500.19,0.12145
"1539",500.4,0.11825
"1540",500.6,0.12074
"1541",500.8,0.11996
"1542",501,0.11866
"1543",501.2,0.11744
"1544",501.4,0.12203
"1545",501.6,0.11881
"1546",501.8,0.11911
"1547",502,0.12121
"1548",502.2,0.11964
"1549",502.4,0.11955
"1550",502.6,0.11616
"1551",502.8,0.12353
"1552",503,0.1215
"1553",503.2,0.11931
"1554",503.4,0.1179
"1555",503.6,0.11974
"1556",503.8,0.12326
"1557",504,0.12117
"1558",504.2,0.12416
"1559",504.4,0.12351
"1560",504.6,0.12591
"1561",504.8,0.12566
"1562",505,0.12483
"1563",505.2,0.12759
"1564",505.4,0.12543
"1565",505.6,0.12464
"1566",505.8,0.12645
"1567",506,0.1264
"1568",506.2,0.12565
"1569",506.4,0.12556
"1570",506.6,0.12605
"1571",506.8,0.12421
"1572",507,0.12709
"1573",507.2,0.12874
"1574",507.4,0.13068
"1575",507.6,0.12756
"1576",507.8,0.12929
"1577",508,0.13003
"1578",508.2,0.13342
"1579",508.4,0.13122
"1580",508.6,0.1285
"1581",508.8,0.12665
"1582",509,0.13444
"1583",509.2,0.1318
"1584",509.4,0.13064
"1585",509.6,0.1324
"1586",509.8,0.13037
"1587",510,0.13499
"1588",510.2,0.13414
"1589",510.4,0.13531
"1590",510.6,0.13258
"1591",510.8,0.13124
"1592",511,0.13073
"1593",511.2,0.13642
"1594",511.4,0.13213
"1595",511.6,0.13291
"1596",511.8,0.13398
"1597",512,0.13404
"1598",512.2,0.13588
"1599",512.4,0.13342
"1600",512.6,0.13473
"1601",512.8,0.13492
"1602",513,0.1375
"1603",513.2,0.13629
"1604",513.4,0.13453
"1605",513.59,0.13275
"1606",513.79,0.1364
"1607",513.99,0.13505
"1608",514.19,0.13623
"1609",514.39,0.13432
"1610",514.59,0.13727
"1611",514.79,0.13471
"1612",514.99,0.1344
"1613",515.19,0.1359
"1614",515.39,0.13701
"1615",515.59,0.1378
"1616",515.79,0.13277
"1617",515.99,0.13929
"1618",516.19,0.13838
"1619",516.39,0.13725
"1620",516.59,0.13855
"1621",516.79,0.14192
"1622",516.98,0.13743
"1623",517.18,0.14264
"1624",517.38,0.14257
"1625",517.58,0.14302
"1626",517.78,0.14381
"1627",517.98,0.14504
"1628",518.18,0.14724
"1629",518.38,0.15348
"1630",518.58,0.15016
"1631",518.78,0.15059
"1632",518.98,0.15193
"1633",519.18,0.15505
"1634",519.38,0.15916
"1635",519.57,0.15906
"1636",519.77,0.15732
"1637",519.97,0.16212
"1638",520.17,0.16178
"1639",520.37,0.16303
"1640",520.57,0.16603
"1641",520.77,0.16807
"1642",520.97,0.16821
"1643",521.17,0.16801
"1644",521.37,0.17184
"1645",521.57,0.17452
"1646",521.76,0.17184
"1647",521.96,0.17544
"1648",522.16,0.17485
"1649",522.36,0.17962
"1650",522.56,0.17401
"1651",522.76,0.17771
"1652",522.96,0.18178
"1653",523.16,0.17995
"1654",523.36,0.18318
"1655",523.55,0.17986
"1656",523.75,0.18109
"1657",523.95,0.18192
"1658",524.15,0.18002
"1659",524.35,0.1824
"1660",524.55,0.1835
"1661",524.75,0.18625
"1662",524.95,0.1877
"1663",525.14,0.18594
"1664",525.34,0.18537
"1665",525.54,0.18299
"1666",525.74,0.18634
"1667",525.94,0.18791
"1668",526.14,0.19166
"1669",526.34,0.19141
"1670",526.54,0.19533
