BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	16	16	16	16	0	16	16	16	16
Contact period end (sample #):	16	16	16	16	7999	16	16	16	16
Contact period start time (s):	0.015984	0.015984	0.015984	0.015984	0.000000	0.015984	0.015984	0.015984	0.015984
Contact period end time (s):	0.015984	0.015984	0.015984	0.015984	7.991009	0.015984	0.015984	0.015984	0.015984
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.158841	-0.786758	-0.065101	-8.559526	8.595854	0.038453	-0.379403	-0.212391	-9.202215	9.212481
0.159840	-0.751453	-0.071516	-8.572845	8.606013	0.001831	-0.404031	-0.206588	-9.147771	9.159020
0.160839	-0.654711	-0.096545	-8.660571	8.685819	0.000610	-0.439114	-0.194026	-9.058116	9.070829
0.161838	-0.508698	-0.136984	-8.809699	8.825437	0.001373	-0.480264	-0.176623	-8.943804	8.958431
0.162837	-0.334094	-0.187043	-8.996901	9.005045	0.013581	-0.520939	-0.157374	-8.820960	8.837730
0.163836	-0.151600	-0.240925	-9.198822	9.203225	0.004883	-0.554594	-0.139276	-8.705721	8.724480
0.164835	0.018081	-0.292832	-9.392107	9.396688	0.002136	-0.574680	-0.125325	-8.614226	8.634284
0.165834	0.154247	-0.336967	-9.553399	9.560585	0.041810	-0.574653	-0.118519	-8.562615	8.582694
0.166833	0.236196	-0.367533	-9.659345	9.669220	0.004120	-0.547963	-0.121854	-8.567025	8.585396
0.167832	0.243226	-0.378733	-9.686588	9.697040	0.003815	-0.488066	-0.138328	-8.643595	8.658469
0.168831	0.158472	-0.365519	-9.615494	9.623743	0.003662	-0.391357	-0.169666	-8.802675	8.813004
0.169830	-0.009295	-0.327859	-9.451264	9.456954	0.002747	-0.273872	-0.209114	-9.015960	9.022542
0.170829	-0.240815	-0.267770	-9.209273	9.216312	0.002136	-0.159694	-0.246441	-9.239318	9.243983
0.171828	-0.516792	-0.187278	-8.904924	8.921873	-0.000305	-0.072927	-0.271409	-9.428569	9.432756
0.172827	-0.817930	-0.088407	-8.553619	8.593092	0.017853	-0.037677	-0.273776	-9.539533	9.543535
0.173826	-1.124936	0.026818	-8.170764	8.247884	0.001373	-0.078049	-0.243305	-9.528031	9.531457
0.174825	-1.418515	0.156373	-7.771761	7.901703	0.000305	-0.218148	-0.169754	-9.349884	9.353969
0.175824	-1.679372	0.298232	-7.372015	7.566759	0.026856	-0.482080	-0.042884	-8.960910	8.973971
0.176823	-1.888756	0.449406	-6.985740	7.250513	0.001221	-0.885028	0.144109	-8.328582	8.376713
0.177822	-2.031648	0.600289	-6.619020	6.949775	0.001221	-1.381101	0.374506	-7.500145	7.635435
0.178821	-2.094590	0.738508	-6.274531	6.656007	0.001221	-1.898819	0.621734	-6.556259	6.853948
0.179820	-2.064128	0.851680	-5.954936	6.359815	0.010224	-2.366619	0.859187	-5.577699	6.119625
0.180819	-1.926811	0.927420	-5.662900	6.053192	0.003967	-2.712935	1.060260	-4.645238	5.482919
0.181818	-1.669185	0.953345	-5.401087	5.732956	0.003662	-2.866204	1.198345	-3.839651	4.939036
0.182817	-1.277797	0.917071	-5.172161	5.406018	0.043336	-2.754859	1.246837	-3.241713	4.433120
0.183816	-0.739196	0.806214	-4.978787	5.097520	0.006256	-2.307337	1.179130	-2.932197	3.913046
0.184815	-0.045494	0.611346	-4.820527	4.859351	0.004578	-1.468847	0.974071	-2.973652	3.456723
0.185814	0.772104	0.343788	-4.675155	4.750938	0.001373	-0.302390	0.648814	-3.300636	3.377366
0.186813	1.665644	0.023749	-4.511113	4.808854	0.002594	1.078561	0.236921	-3.792868	3.950351
0.187812	2.587111	-0.328524	-4.296806	5.026292	0.002136	2.560338	-0.227979	-4.329855	5.035370
0.188811	3.488486	-0.692788	-4.000638	5.352998	0.000153	4.029277	-0.712262	-4.791106	6.300562
